epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4578,1.92634,2.25781,1.83029,0.56537,0.58054,0.54582,0.2237,1.88453,2.39184,1.8866,0.000662132,0.000662132,0.000662132
2,53.0897,1.83173,1.7955,1.74659,0.69149,0.64639,0.67364,0.29623,1.81809,1.82331,1.80254,0.00132356,0.00132356,0.00132356
3,77.2047,1.84285,1.70152,1.76285,0.51322,0.50671,0.47586,0.20245,1.85473,2.02431,1.8882,0.00197972,0.00197972,0.00197972
4,100.125,1.81289,1.60458,1.72062,0.76845,0.69379,0.7579,0.35737,1.77837,1.55366,1.7208,0.00197633,0.00197633,0.00197633
5,123.379,1.76748,1.53488,1.67607,0.74609,0.65268,0.73612,0.35602,1.71268,1.53802,1.7095,0.00196845,0.00196845,0.00196845
6,148.49,1.74773,1.47441,1.67122,0.77403,0.67995,0.76706,0.37428,1.72888,1.45382,1.73732,0.00196056,0.00196056,0.00196056
7,174.735,1.7522,1.43814,1.67233,0.81092,0.74118,0.8104,0.39874,1.70434,1.34291,1.64222,0.00195267,0.00195267,0.00195267
8,200.597,1.70842,1.38385,1.60668,0.78331,0.69673,0.7734,0.37919,1.72606,1.41115,1.68402,0.00194478,0.00194478,0.00194478
9,225.825,1.70698,1.37967,1.6266,0.82859,0.74415,0.82238,0.39913,1.71056,1.23213,1.65845,0.00193689,0.00193689,0.00193689
10,251.263,1.70363,1.35953,1.61478,0.82916,0.74455,0.82302,0.4124,1.72228,1.16243,1.70678,0.001929,0.001929,0.001929
11,277.275,1.67382,1.30673,1.59346,0.7514,0.69098,0.75739,0.38499,1.68813,1.34835,1.69004,0.00192112,0.00192112,0.00192112
12,303.727,1.66486,1.29161,1.60738,0.83521,0.79446,0.85979,0.45563,1.59681,1.12746,1.58329,0.00191323,0.00191323,0.00191323
13,330.082,1.6663,1.27083,1.59385,0.76207,0.71854,0.77802,0.40132,1.67056,1.29276,1.65094,0.00190534,0.00190534,0.00190534
14,355.934,1.63892,1.25778,1.5667,0.85549,0.78859,0.87025,0.46475,1.60391,1.10813,1.59735,0.00189745,0.00189745,0.00189745
15,381.23,1.63593,1.21778,1.57245,0.8561,0.77013,0.84774,0.43207,1.70491,1.12604,1.63968,0.00188956,0.00188956,0.00188956
16,405.177,1.61289,1.20901,1.54894,0.85334,0.81544,0.87743,0.46212,1.61538,1.01154,1.57852,0.00188167,0.00188167,0.00188167
17,428.394,1.60599,1.178,1.54953,0.84322,0.7932,0.85979,0.44767,1.59709,1.14121,1.58458,0.00187378,0.00187378,0.00187378
18,451.363,1.61346,1.20157,1.55304,0.85994,0.74688,0.83738,0.44434,1.64731,1.0887,1.62748,0.0018659,0.0018659,0.0018659
19,474.256,1.61071,1.17699,1.54983,0.87999,0.79049,0.86546,0.47709,1.57013,1.01952,1.55626,0.00185801,0.00185801,0.00185801
20,497.568,1.56487,1.14065,1.51572,0.83195,0.76971,0.83446,0.45057,1.57652,1.0922,1.57775,0.00185012,0.00185012,0.00185012
21,520.334,1.58663,1.13465,1.5209,0.86455,0.79866,0.87763,0.48457,1.534,0.97258,1.51912,0.00184223,0.00184223,0.00184223
22,543.368,1.57417,1.14544,1.51248,0.87338,0.78985,0.87252,0.48025,1.5709,1.09364,1.55417,0.00183434,0.00183434,0.00183434
23,566.115,1.57773,1.12364,1.51221,0.89447,0.80705,0.89081,0.49186,1.54985,0.95829,1.52809,0.00182645,0.00182645,0.00182645
24,588.965,1.57385,1.13147,1.51027,0.87459,0.81325,0.88213,0.47729,1.55043,1.07193,1.54106,0.00181857,0.00181857,0.00181857
25,612.145,1.56636,1.11342,1.50379,0.85149,0.75629,0.8434,0.45304,1.59267,1.03465,1.57125,0.00181068,0.00181068,0.00181068
26,635.125,1.54471,1.08388,1.50506,0.87947,0.80201,0.88361,0.48809,1.5686,1.0114,1.55085,0.00180279,0.00180279,0.00180279
27,658.176,1.56737,1.06835,1.50781,0.89004,0.79784,0.8817,0.48594,1.5899,0.94283,1.53397,0.0017949,0.0017949,0.0017949
28,681.242,1.56223,1.10261,1.50813,0.87641,0.82047,0.88378,0.49418,1.52329,0.97786,1.51587,0.00178701,0.00178701,0.00178701
29,705.492,1.55183,1.07281,1.50186,0.88079,0.812,0.88321,0.50532,1.52794,1.0021,1.5251,0.00177912,0.00177912,0.00177912
30,728.573,1.54052,1.06041,1.49232,0.88337,0.80369,0.87991,0.47228,1.606,0.97097,1.57742,0.00177124,0.00177124,0.00177124
31,751.291,1.52387,1.04526,1.47693,0.88235,0.79906,0.88597,0.49218,1.54638,0.88449,1.53637,0.00176335,0.00176335,0.00176335
32,774.419,1.52951,1.05427,1.48487,0.90201,0.82424,0.8973,0.50335,1.5216,0.89545,1.52706,0.00175546,0.00175546,0.00175546
33,797.466,1.49591,1.02001,1.461,0.89003,0.82089,0.89261,0.50051,1.51645,0.96792,1.4923,0.00174757,0.00174757,0.00174757
34,822.377,1.52011,1.02668,1.46911,0.88768,0.81223,0.89475,0.50684,1.52721,0.89413,1.50111,0.00173968,0.00173968,0.00173968
35,848.314,1.51108,1.01345,1.45458,0.88913,0.83473,0.90108,0.51337,1.50388,0.82755,1.47548,0.00173179,0.00173179,0.00173179
36,872.703,1.49408,1.02097,1.4472,0.89112,0.82634,0.89082,0.49609,1.55201,0.92851,1.51789,0.0017239,0.0017239,0.0017239
37,897.459,1.48211,0.99662,1.43775,0.86693,0.83263,0.89289,0.5123,1.53335,0.91857,1.545,0.00171602,0.00171602,0.00171602
38,921.345,1.50138,0.99918,1.45375,0.9022,0.82676,0.90014,0.50269,1.53602,0.93645,1.5243,0.00170813,0.00170813,0.00170813
39,945.769,1.50151,1.01287,1.44932,0.90353,0.82802,0.90091,0.51374,1.52961,0.89045,1.51113,0.00170024,0.00170024,0.00170024
40,971.242,1.49373,0.99814,1.43868,0.89376,0.84522,0.90632,0.51744,1.52673,0.84098,1.51185,0.00169235,0.00169235,0.00169235
41,995.837,1.47598,0.99138,1.43401,0.89937,0.83389,0.90133,0.51619,1.50499,0.86476,1.48094,0.00168446,0.00168446,0.00168446
42,1020.65,1.46656,0.97662,1.43086,0.89796,0.83424,0.90399,0.52322,1.48891,0.84391,1.48036,0.00167657,0.00167657,0.00167657
43,1045.78,1.45446,0.97058,1.42125,0.91371,0.82508,0.90431,0.52432,1.51182,0.85147,1.51346,0.00166869,0.00166869,0.00166869
44,1070.27,1.46081,0.95772,1.4281,0.88806,0.82508,0.8927,0.51713,1.46855,0.87681,1.46939,0.0016608,0.0016608,0.0016608
45,1094.41,1.45621,0.97522,1.421,0.90235,0.82676,0.90144,0.52676,1.47967,0.84462,1.49553,0.00165291,0.00165291,0.00165291
46,1119.14,1.46075,0.96973,1.43286,0.89132,0.81376,0.88872,0.50611,1.51535,0.84669,1.49071,0.00164502,0.00164502,0.00164502
47,1143.77,1.47111,0.9691,1.43168,0.85149,0.78146,0.84884,0.46972,1.60997,1.20942,1.57224,0.00163713,0.00163713,0.00163713
48,1167.51,1.45131,0.95657,1.42263,0.90551,0.84415,0.91381,0.53721,1.4482,0.80398,1.45768,0.00162924,0.00162924,0.00162924
49,1192.33,1.44448,0.9461,1.40408,0.90919,0.83641,0.90138,0.51636,1.49884,0.85809,1.48424,0.00162135,0.00162135,0.00162135
50,1218.09,1.43899,0.93774,1.40516,0.91258,0.83893,0.9076,0.53809,1.44814,0.80959,1.43537,0.00161347,0.00161347,0.00161347
51,1243.34,1.43236,0.9592,1.40137,0.91124,0.84408,0.91063,0.53164,1.42921,0.81866,1.42926,0.00160558,0.00160558,0.00160558
52,1268.81,1.4468,0.94977,1.40825,0.90397,0.84228,0.91098,0.53628,1.45709,0.82625,1.45611,0.00159769,0.00159769,0.00159769
53,1293.92,1.41665,0.9251,1.40413,0.90767,0.83347,0.90753,0.52537,1.4985,0.79984,1.49424,0.0015898,0.0015898,0.0015898
54,1319.28,1.40674,0.9285,1.38788,0.89568,0.8427,0.90588,0.52766,1.45142,0.82039,1.44449,0.00158191,0.00158191,0.00158191
55,1344.4,1.44243,0.95376,1.41105,0.90344,0.84018,0.90748,0.53242,1.44675,0.78584,1.44456,0.00157402,0.00157402,0.00157402
56,1366.99,1.40771,0.9147,1.3864,0.90786,0.83485,0.9118,0.53229,1.46244,0.83099,1.47036,0.00156614,0.00156614,0.00156614
57,1390.03,1.39254,0.8893,1.38964,0.90839,0.8406,0.90872,0.53764,1.40892,0.78568,1.42263,0.00155825,0.00155825,0.00155825
58,1413.43,1.4041,0.90896,1.38077,0.90267,0.83851,0.90977,0.5358,1.46609,0.78042,1.46304,0.00155036,0.00155036,0.00155036
59,1437.16,1.40911,0.9008,1.39179,0.90992,0.85319,0.9167,0.54145,1.45035,0.75356,1.47103,0.00154247,0.00154247,0.00154247
60,1460.97,1.39265,0.89186,1.38034,0.91601,0.85864,0.9238,0.54828,1.41891,0.75716,1.41702,0.00153458,0.00153458,0.00153458
61,1484.62,1.40634,0.91647,1.38221,0.92212,0.85425,0.91702,0.53906,1.45961,0.77442,1.46934,0.00152669,0.00152669,0.00152669
62,1508.92,1.38834,0.90733,1.37773,0.91597,0.84354,0.90525,0.53165,1.45471,0.79459,1.44138,0.0015188,0.0015188,0.0015188
63,1533.21,1.38563,0.89058,1.37074,0.90736,0.84941,0.90727,0.53798,1.4266,0.76281,1.44014,0.00151092,0.00151092,0.00151092
64,1557.29,1.38901,0.88506,1.36665,0.90398,0.84354,0.90972,0.52803,1.46777,0.80438,1.46173,0.00150303,0.00150303,0.00150303
65,1581.24,1.37938,0.89031,1.36902,0.89323,0.84186,0.90728,0.53269,1.42139,0.78384,1.42884,0.00149514,0.00149514,0.00149514
66,1605.16,1.36727,0.87421,1.35137,0.90929,0.84091,0.9112,0.54357,1.40718,0.77432,1.4176,0.00148725,0.00148725,0.00148725
67,1629.01,1.35624,0.87477,1.35523,0.90524,0.8406,0.90561,0.53461,1.44141,0.78232,1.45176,0.00147936,0.00147936,0.00147936
68,1653.41,1.37268,0.88072,1.36015,0.91895,0.85604,0.92178,0.55589,1.40271,0.72811,1.40674,0.00147147,0.00147147,0.00147147
69,1677.58,1.35009,0.85754,1.34894,0.90363,0.85746,0.9123,0.54937,1.39192,0.75073,1.3987,0.00146359,0.00146359,0.00146359
70,1701.5,1.353,0.87148,1.35131,0.92409,0.8579,0.9215,0.55051,1.40064,0.74818,1.40146,0.0014557,0.0014557,0.0014557
71,1725.43,1.35398,0.85379,1.33524,0.91595,0.85482,0.91267,0.54143,1.39329,0.7594,1.39872,0.00144781,0.00144781,0.00144781
72,1749.43,1.36239,0.85655,1.35578,0.91793,0.83851,0.91788,0.54016,1.42265,0.77155,1.43395,0.00143992,0.00143992,0.00143992
73,1773.44,1.3566,0.84519,1.35176,0.91124,0.85691,0.91931,0.54793,1.43133,0.78915,1.43574,0.00143203,0.00143203,0.00143203
74,1797.78,1.33658,0.84162,1.32984,0.9218,0.8504,0.91915,0.55875,1.39079,0.72674,1.41028,0.00142414,0.00142414,0.00142414
75,1955.03,1.35219,0.83706,1.34523,0.90717,0.85671,0.9164,0.55127,1.40713,0.73383,1.41216,0.00141625,0.00141625,0.00141625
76,1977.4,1.33429,0.85111,1.33288,0.91541,0.85342,0.91814,0.56185,1.36445,0.72534,1.39397,0.00140837,0.00140837,0.00140837
77,1999.62,1.33731,0.82255,1.33278,0.92163,0.84522,0.92029,0.54087,1.43645,0.74378,1.43326,0.00140048,0.00140048,0.00140048
78,2022.01,1.31419,0.82971,1.31816,0.92136,0.8578,0.92546,0.56553,1.40076,0.70273,1.40879,0.00139259,0.00139259,0.00139259
79,2044.58,1.32889,0.83326,1.32262,0.90789,0.85696,0.91651,0.56001,1.37908,0.75281,1.40521,0.0013847,0.0013847,0.0013847
80,2066.79,1.34386,0.84141,1.33612,0.9072,0.84067,0.9112,0.5559,1.39522,0.76326,1.39273,0.00137681,0.00137681,0.00137681
81,2089.32,1.30946,0.82325,1.31551,0.90913,0.86031,0.9199,0.55991,1.4037,0.74952,1.40589,0.00136892,0.00136892,0.00136892
82,2111.79,1.30729,0.81533,1.3061,0.91954,0.85696,0.91618,0.55598,1.38768,0.72855,1.38987,0.00136104,0.00136104,0.00136104
83,2134.19,1.30492,0.81973,1.30244,0.91651,0.85182,0.91972,0.55939,1.3747,0.74098,1.37127,0.00135315,0.00135315,0.00135315
