epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9092,1.13452,1.39172,1.30591,0.74727,0.72761,0.74402,0.52037,1.03405,1.06359,1.29327,0.000552614,0.000552614,0.000552614
2,76.0091,1.13543,0.96675,1.268,0.79463,0.75814,0.77345,0.52338,1.07671,1.11315,1.35695,0.00110391,0.00110391,0.00110391
3,111.067,1.1182,0.95083,1.2783,0.78619,0.74939,0.79464,0.53739,1.1581,1.13279,1.40383,0.00165082,0.00165082,0.00165082
4,145.753,1.10043,0.91386,1.27383,0.6488,0.67754,0.70683,0.48175,1.05283,1.04332,1.34471,0.00164727,0.00164727,0.00164727
5,181.853,1.09663,0.87923,1.27362,0.9103,0.76194,0.8362,0.58708,1.00546,0.79471,1.2979,0.0016407,0.0016407,0.0016407
6,218.449,1.07231,0.81007,1.24547,0.86527,0.79648,0.84778,0.59159,1.03839,0.7796,1.32076,0.00163412,0.00163412,0.00163412
7,253.51,1.01022,0.76173,1.20824,0.86571,0.84673,0.88138,0.62301,0.96556,0.68154,1.23218,0.00162755,0.00162755,0.00162755
8,288.254,1.02718,0.74527,1.21818,0.85508,0.83895,0.87524,0.62313,0.94415,0.71595,1.26185,0.00162097,0.00162097,0.00162097
9,323.097,1.00229,0.73509,1.20582,0.87927,0.82871,0.87815,0.63518,0.91979,0.68226,1.20142,0.0016144,0.0016144,0.0016144
10,357.887,0.98144,0.7004,1.20005,0.89676,0.7885,0.84033,0.5957,0.88786,0.63379,1.2137,0.00160782,0.00160782,0.00160782
11,392.758,0.97064,0.70904,1.1852,0.8657,0.79012,0.86046,0.62837,0.87853,0.65513,1.16821,0.00160125,0.00160125,0.00160125
12,427.615,0.9437,0.65649,1.16342,0.82377,0.85842,0.87273,0.62986,0.89271,0.61773,1.18477,0.00159467,0.00159467,0.00159467
13,462.563,0.9522,0.67926,1.17614,0.89509,0.85393,0.87036,0.63732,0.87641,0.60468,1.18586,0.0015881,0.0015881,0.0015881
14,497.334,0.93875,0.6406,1.16421,0.90616,0.86354,0.90276,0.66685,0.8212,0.56791,1.15435,0.00158152,0.00158152,0.00158152
15,532.03,0.92034,0.60819,1.14621,0.92082,0.84658,0.89164,0.67346,0.83654,0.53811,1.15376,0.00157495,0.00157495,0.00157495
16,760.306,0.92039,0.60165,1.15932,0.91191,0.85062,0.8978,0.66823,0.84778,0.55841,1.15675,0.00156837,0.00156837,0.00156837
17,797.067,0.91014,0.60599,1.14301,0.89461,0.84197,0.88713,0.65777,0.80874,0.59526,1.11705,0.0015618,0.0015618,0.0015618
18,833.372,0.90662,0.61223,1.15015,0.91465,0.85991,0.90214,0.67673,0.81355,0.55468,1.13409,0.00155522,0.00155522,0.00155522
19,869.689,0.87501,0.57276,1.13325,0.92563,0.84038,0.89966,0.66188,0.86871,0.56989,1.17421,0.00154865,0.00154865,0.00154865
20,905.933,0.87548,0.55778,1.13798,0.9151,0.87279,0.89669,0.67489,0.79574,0.51195,1.1245,0.00154207,0.00154207,0.00154207
21,942.104,0.86838,0.58004,1.13445,0.90746,0.86649,0.91705,0.70825,0.76092,0.50204,1.11009,0.0015355,0.0015355,0.0015355
22,981.283,0.84953,0.56467,1.12751,0.90324,0.88548,0.90255,0.69505,0.76606,0.48396,1.09172,0.00152892,0.00152892,0.00152892
23,1021.12,0.87166,0.56095,1.12925,0.92272,0.86341,0.91008,0.68733,0.79209,0.50145,1.11356,0.00152235,0.00152235,0.00152235
24,1060.25,0.86306,0.5574,1.11842,0.91182,0.84297,0.89766,0.65848,0.82751,0.52313,1.11672,0.00151577,0.00151577,0.00151577
25,1099.3,0.84574,0.57719,1.1191,0.91286,0.89592,0.92396,0.69974,0.7931,0.5074,1.10082,0.0015092,0.0015092,0.0015092
26,1137.49,0.85701,0.55731,1.12265,0.93037,0.87468,0.91111,0.66578,0.8355,0.48926,1.13116,0.00150262,0.00150262,0.00150262
27,1172.57,0.85251,0.54415,1.11042,0.92176,0.86634,0.91077,0.69658,0.75176,0.47061,1.09429,0.00149605,0.00149605,0.00149605
28,1208.43,0.81757,0.52508,1.09806,0.94086,0.87814,0.91996,0.70731,0.74053,0.47211,1.07444,0.00148947,0.00148947,0.00148947
