epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.0577,1.16914,1.17585,1.30422,0.87682,0.78218,0.87639,0.56291,1.29936,1.05135,1.50319,0.000665155,0.000665155,0.000665155
2,173.487,1.10925,0.8907,1.28947,0.89182,0.89169,0.93219,0.64874,1.10187,0.77928,1.33678,0.00132657,0.00132657,0.00132657
3,261.859,1.07926,0.81229,1.24536,0.94601,0.89367,0.95515,0.67277,1.0687,0.73146,1.29857,0.00198272,0.00198272,0.00198272
4,346.967,1.05671,0.73759,1.23703,0.94606,0.94055,0.98131,0.70612,1.00717,0.62899,1.2338,0.00197633,0.00197633,0.00197633
5,431.029,1.01778,0.70583,1.20602,0.95463,0.96251,0.9829,0.71159,0.99346,0.58802,1.21098,0.00196845,0.00196845,0.00196845
6,515.441,0.97516,0.65707,1.18186,0.95876,0.95332,0.98552,0.71683,1.01465,0.57405,1.20442,0.00196056,0.00196056,0.00196056
7,1683.79,0.97367,0.6392,1.18649,0.96266,0.94892,0.98683,0.74267,0.91579,0.5793,1.18072,0.00195267,0.00195267,0.00195267
8,1770.62,0.95022,0.61917,1.17435,0.96148,0.96477,0.98584,0.74544,0.88932,0.53054,1.15484,0.00194478,0.00194478,0.00194478
9,1854.91,0.94452,0.60683,1.16391,0.96686,0.9663,0.98782,0.75231,0.88656,0.50152,1.13295,0.00193689,0.00193689,0.00193689
10,1938.68,0.93257,0.5874,1.1639,0.96463,0.96066,0.98452,0.74924,0.8966,0.51087,1.15266,0.001929,0.001929,0.001929
11,2022.4,0.93036,0.56997,1.15014,0.97509,0.97319,0.99077,0.76104,0.87211,0.47393,1.10475,0.00192112,0.00192112,0.00192112
12,2106.17,0.90653,0.55608,1.14042,0.9819,0.96994,0.99189,0.7658,0.89289,0.48684,1.12689,0.00191323,0.00191323,0.00191323
13,2190.3,0.89283,0.54173,1.13313,0.9756,0.9671,0.99181,0.76601,0.87659,0.49365,1.11882,0.00190534,0.00190534,0.00190534
14,2274.17,0.90204,0.54979,1.14651,0.97308,0.96898,0.99134,0.75477,0.91119,0.47622,1.12335,0.00189745,0.00189745,0.00189745
15,2357.49,0.89159,0.5354,1.12847,0.97869,0.98475,0.99242,0.78163,0.82478,0.43986,1.08664,0.00188956,0.00188956,0.00188956
16,2441.17,0.8767,0.5234,1.12451,0.97678,0.97335,0.99284,0.78145,0.83116,0.44106,1.08539,0.00188167,0.00188167,0.00188167
17,2524.79,0.88125,0.531,1.12664,0.98163,0.98329,0.9929,0.77968,0.82919,0.43202,1.08295,0.00187378,0.00187378,0.00187378
18,2608.56,0.86981,0.51437,1.11302,0.97652,0.98399,0.99094,0.78565,0.81611,0.42303,1.07633,0.0018659,0.0018659,0.0018659
19,2692.08,0.8616,0.50429,1.11194,0.979,0.98475,0.9924,0.78371,0.82422,0.41895,1.07841,0.00185801,0.00185801,0.00185801
20,2775.79,0.87116,0.49422,1.1142,0.98214,0.98297,0.99244,0.78555,0.83344,0.41337,1.06914,0.00185012,0.00185012,0.00185012
21,2859.55,0.85322,0.49379,1.11208,0.9798,0.98475,0.9924,0.78544,0.82639,0.42742,1.085,0.00184223,0.00184223,0.00184223
22,2943.44,0.85982,0.48876,1.11063,0.97892,0.9767,0.99257,0.78642,0.82675,0.43362,1.0803,0.00183434,0.00183434,0.00183434
23,3027.3,0.84879,0.48573,1.10185,0.98044,0.98791,0.99352,0.79884,0.80221,0.42258,1.071,0.00182645,0.00182645,0.00182645
24,3110.92,0.85135,0.48512,1.10651,0.98211,0.98147,0.99348,0.78961,0.82526,0.42624,1.07803,0.00181857,0.00181857,0.00181857
25,3194.41,0.8504,0.48376,1.11363,0.97961,0.98526,0.99386,0.79501,0.80554,0.41211,1.07446,0.00181068,0.00181068,0.00181068
26,3278.06,0.85487,0.48163,1.11581,0.98463,0.9765,0.99369,0.7967,0.80746,0.42199,1.06902,0.00180279,0.00180279,0.00180279
27,3361.92,0.84474,0.46932,1.1058,0.98278,0.98896,0.99383,0.79523,0.8067,0.4127,1.05873,0.0017949,0.0017949,0.0017949
28,3445.71,0.83439,0.47007,1.10147,0.99065,0.98002,0.99294,0.79797,0.80024,0.39314,1.06452,0.00178701,0.00178701,0.00178701
29,3529.67,0.83632,0.47013,1.10493,0.98627,0.97634,0.99316,0.7889,0.81488,0.40942,1.0904,0.00177912,0.00177912,0.00177912
30,3615.16,0.82906,0.47273,1.09983,0.98222,0.98948,0.99406,0.80027,0.79135,0.40423,1.05012,0.00177124,0.00177124,0.00177124
31,3699.52,0.81863,0.45671,1.08752,0.98165,0.98456,0.99412,0.80068,0.79083,0.39732,1.05739,0.00176335,0.00176335,0.00176335
32,3783.11,0.82888,0.4657,1.10035,0.98432,0.98791,0.99391,0.80295,0.79909,0.38964,1.07624,0.00175546,0.00175546,0.00175546
33,3866.72,0.82131,0.46214,1.09189,0.98372,0.9858,0.99353,0.80536,0.7784,0.38542,1.04873,0.00174757,0.00174757,0.00174757
34,3950.52,0.80825,0.44467,1.08827,0.98131,0.98686,0.99369,0.8062,0.78226,0.38335,1.06302,0.00173968,0.00173968,0.00173968
35,4034.23,0.81591,0.45646,1.09629,0.98979,0.98843,0.99446,0.80171,0.79643,0.38436,1.05176,0.00173179,0.00173179,0.00173179
36,4117.69,0.83865,0.46523,1.10485,0.98485,0.98528,0.99395,0.80346,0.78482,0.38673,1.05275,0.0017239,0.0017239,0.0017239
37,4202.08,0.82152,0.45756,1.09007,0.98741,0.98633,0.9937,0.80209,0.78012,0.37233,1.04597,0.00171602,0.00171602,0.00171602
38,4287.81,0.81338,0.43728,1.08866,0.98221,0.98679,0.99432,0.80803,0.77038,0.37783,1.0441,0.00170813,0.00170813,0.00170813
39,4374.25,0.79915,0.43225,1.08185,0.98696,0.99159,0.99449,0.81206,0.75802,0.3687,1.03305,0.00170024,0.00170024,0.00170024
40,4460.73,0.8027,0.43809,1.08136,0.9796,0.98948,0.99395,0.80108,0.78972,0.38153,1.05796,0.00169235,0.00169235,0.00169235
41,4547.06,0.80928,0.43242,1.07863,0.98683,0.98514,0.99426,0.80831,0.76844,0.37258,1.03034,0.00168446,0.00168446,0.00168446
42,4633.37,0.79888,0.43128,1.08251,0.98789,0.98661,0.99408,0.80736,0.77898,0.37801,1.03746,0.00167657,0.00167657,0.00167657
43,4719.28,0.80772,0.4355,1.08594,0.98251,0.99106,0.99425,0.81332,0.76631,0.36754,1.03972,0.00166869,0.00166869,0.00166869
44,4805.64,0.80618,0.43106,1.08831,0.98443,0.99211,0.99424,0.81255,0.76398,0.36851,1.03543,0.0016608,0.0016608,0.0016608
45,4890.55,0.7981,0.4352,1.08509,0.98278,0.99026,0.9943,0.81294,0.7571,0.36267,1.02997,0.00165291,0.00165291,0.00165291
46,4973.8,0.80374,0.42999,1.08638,0.98128,0.99203,0.99391,0.82162,0.74739,0.36123,1.02536,0.00164502,0.00164502,0.00164502
47,5057.15,0.78912,0.4193,1.07326,0.98584,0.98799,0.99427,0.81799,0.75075,0.36233,1.03144,0.00163713,0.00163713,0.00163713
48,5140.24,0.80133,0.43127,1.08032,0.98616,0.99159,0.9946,0.80525,0.76982,0.36679,1.03551,0.00162924,0.00162924,0.00162924
49,5223.39,0.79723,0.42357,1.07229,0.98342,0.99264,0.9942,0.81124,0.75857,0.36559,1.03136,0.00162135,0.00162135,0.00162135
50,5306.93,0.78023,0.41442,1.07243,0.98951,0.99232,0.99428,0.81729,0.74695,0.35162,1.02965,0.00161347,0.00161347,0.00161347
51,5390.2,0.77598,0.40909,1.07045,0.98489,0.99371,0.99418,0.80945,0.74949,0.3609,1.02685,0.00160558,0.00160558,0.00160558
52,5473.7,0.78619,0.41855,1.0675,0.98593,0.99508,0.99459,0.82083,0.74408,0.35473,1.02195,0.00159769,0.00159769,0.00159769
53,5556.81,0.78634,0.41311,1.0782,0.98695,0.9942,0.99401,0.8125,0.77087,0.36348,1.02877,0.0015898,0.0015898,0.0015898
54,5640.02,0.78912,0.41908,1.07933,0.98742,0.99006,0.99447,0.81336,0.76131,0.36296,1.03321,0.00158191,0.00158191,0.00158191
55,5723.36,0.77668,0.41623,1.07285,0.98374,0.98633,0.9943,0.80991,0.75023,0.36229,1.02498,0.00157402,0.00157402,0.00157402
56,5806.58,0.78222,0.41056,1.07015,0.99063,0.99159,0.99468,0.81319,0.74228,0.35421,1.02237,0.00156614,0.00156614,0.00156614
57,5890.16,0.76971,0.40587,1.06898,0.98537,0.99177,0.99445,0.82036,0.74213,0.35135,1.02739,0.00155825,0.00155825,0.00155825
58,5973.5,0.77022,0.40244,1.0649,0.98617,0.98686,0.99401,0.81989,0.74327,0.35563,1.02083,0.00155036,0.00155036,0.00155036
59,6056.63,0.76761,0.40383,1.06912,0.99067,0.99211,0.99436,0.8139,0.75179,0.35282,1.03437,0.00154247,0.00154247,0.00154247
60,6139.87,0.76814,0.40846,1.0695,0.99002,0.99077,0.99442,0.81825,0.75333,0.35255,1.03065,0.00153458,0.00153458,0.00153458
61,6223.16,0.77145,0.40483,1.07178,0.98278,0.98528,0.99408,0.81947,0.75224,0.35919,1.03014,0.00152669,0.00152669,0.00152669
62,6306.55,0.77136,0.40516,1.06755,0.98986,0.99211,0.99431,0.81688,0.74011,0.34817,1.02121,0.0015188,0.0015188,0.0015188
63,6389.57,0.76397,0.40096,1.06073,0.9795,0.99474,0.99454,0.82396,0.72738,0.34525,1.01301,0.00151092,0.00151092,0.00151092
64,6473.08,0.77368,0.40138,1.07389,0.99001,0.98994,0.99438,0.82619,0.73223,0.34554,1.03018,0.00150303,0.00150303,0.00150303
65,6556.33,0.75935,0.39292,1.0661,0.98762,0.98738,0.99419,0.82433,0.73114,0.34777,1.02132,0.00149514,0.00149514,0.00149514
66,6639.68,0.7678,0.40407,1.06966,0.98748,0.99559,0.99374,0.82572,0.73252,0.34023,1.01899,0.00148725,0.00148725,0.00148725
67,6723.08,0.76321,0.39522,1.06956,0.98953,0.99402,0.99424,0.81984,0.7431,0.33952,1.01474,0.00147936,0.00147936,0.00147936
68,6806.67,0.75549,0.38872,1.05709,0.97928,0.99374,0.99372,0.82649,0.72937,0.34254,1.00835,0.00147147,0.00147147,0.00147147
